iter,lower_bound_batch_avg
1,85426.58520468626
2,255630.9947433065
3,204809.80382993113
4,473590.6446820255
5,614411.0400564285
6,634401.854812702
7,832146.4690949768
8,726270.6418138936
9,685703.3104889034
10,570005.7127369998
11,878161.8808041543
12,870889.8561986897
13,792830.9541934272
14,848340.112216426
15,815560.4449982722
16,857861.5120927787
17,666345.0318346396
18,724263.9231358923
19,855642.340079967
20,890765.0201900138
21,730138.7463803493
22,483257.6818422541
23,653044.1095581597
24,760049.5335256686
25,596703.2794301154
26,604681.732297539
27,652439.4924732489
28,625092.9303838555
29,679697.7806557068
30,616044.9233939056
31,718592.675787716
32,645287.6656640589
33,552063.1200370818
34,528866.6034071875
35,608731.6742152015
36,551144.5987655817
37,654157.7565428857
38,660443.7601433542
39,684802.7213023135
40,494905.7444172691
41,901474.584213366
42,437125.8590962796
43,570132.8071342624
44,708322.6914076632
45,629771.1177065584
46,845099.4397389602
47,645465.4035528582
48,774551.9160860042
49,777872.8239333355
50,771241.9067014131
51,484315.1849651231
52,832407.4589781523
53,861102.263240569
54,882062.0134657107
55,758535.9303089026
56,784940.7822092348
57,689897.0647090375
58,594633.8855483155
59,634627.8531321383
60,748065.6038557758
61,624317.5129740109
62,658865.2802480706
63,833299.837177451
64,703349.8625543595
65,567419.0154287005
66,816933.2633410746
67,507304.96910471667
68,745928.6543062658
69,545293.3726610942
70,788269.6068045185
71,561686.7244854455
72,693449.0048315874
73,822955.8740767804
74,590678.7245353878
75,545207.2919052665
76,564387.3566044528
77,509183.71926272893
78,522765.79416348424
79,792935.2024330016
80,617944.4992259153
81,703475.7050374044
82,444582.3860046594
83,578750.5909126817
84,719955.4720928608
85,740931.2198230934
86,880377.0022514889
87,758914.0266668733
88,783631.6748914537
89,804949.861826628
90,593142.2360247585
91,854086.2729098438
92,588981.8913278161
93,568845.0188694679
94,823041.6486133697
95,558833.2714297335
96,774804.5344456448
97,671608.0195472944
98,669992.26248262
99,589260.1249003527
100,784687.1215351492
101,780588.801521522
102,651611.4196469185
103,756710.3462824475
104,520212.7653796056
105,654887.9791329595
106,532227.0888207592
107,728154.4951201269
108,798116.5971683329
109,618055.6312275215
110,599398.7084368293
111,726479.1565741021
112,474707.0370258214
113,659572.6741671078
114,844701.1986471659
115,715118.320814888
116,700457.133029704
117,501997.465611152
118,544425.1726334977
119,949467.4495554355
120,814499.6886521252
121,587107.4576124414
122,719228.6748720824
123,474533.4575288181
124,699847.3645770182
125,615332.0641330332
126,731203.1930255214
127,649657.1728318268
128,524206.2950781068
129,581058.520329109
130,679244.1424656224
131,774619.9507199172
132,679443.7081630572
133,785261.9821325555
134,477560.76060057397
135,474222.62415404216
136,746178.2331858354
137,873418.1303223743
138,754267.1340657375
139,784004.1784658276
140,519296.13981639396
141,577180.1048614238
142,607914.7591059811
143,904004.2558941469
144,389476.0430354981
145,740230.9245685227
146,663910.6264604398
147,838353.4853100715
148,1066059.6736001854
149,721837.5507975798
150,713094.359986915
151,751544.364438881
152,842935.1980543439
153,822987.6821216792
154,697071.3144997719
155,595755.7643152694
156,414487.50511929695
157,917687.7932612674
158,397969.02119657863
159,648844.0078606925
160,584636.2404538959
161,938835.8085950528
162,491838.3647450805
163,822535.548752751
164,664803.9726000273
165,632868.7032582022
166,719009.6411468316
167,688770.6410457969
168,659058.2230017865
169,559862.2291763455
170,684747.2116085987
171,542394.1529464822
172,674802.5736912108
173,651895.0679924006
174,771349.0927863007
175,699327.7428127031
176,771503.7278015445
177,693163.2220088064
178,713874.3126621062
179,797021.1987114581
180,706267.1103938136
181,929546.3324483201
182,562894.907319323
183,514728.25479375216
184,713227.8704312749
185,738954.3080364275
186,683651.5096675658
187,725872.6735869522
188,599474.2595283564
189,707219.7818757368
190,943120.3124155728
191,493450.41597705736
192,771656.597071649
193,667639.9511416629
194,686791.0842725417
195,613149.2794420355
