N,train_M,test_M,SDDP_in,SDDP_out,train_time_s,online_ms_per_path
100,1000,1000,72884.29236700055,73687.18945897934,22.53,28.045
200,1000,1000,75387.39460729831,76243.9993550577,44.985,28.524
300,1000,1000,73680.4984470952,74429.81009064606,70.766,29.675
400,1000,1000,75590.52865483574,76252.82990403702,93.991,29.352
500,1000,1000,77669.875316168,78558.72957445747,113.367,28.598
600,1000,1000,75207.57876341352,75747.02306361441,135.86,28.544
700,1000,1000,76084.84689174364,76833.20096269694,158.508,28.422
800,1000,1000,75567.17752936739,76235.28205094,181.51,28.45
900,1000,1000,75444.44348437476,76125.52701628132,205.47,28.533
1000,1000,1000,76762.17928029387,77494.8274011847,227.097,28.308
