N,t,std_last5
100,1,190.27206456648875
100,2,236.44657284007724
100,3,267.81114853300505
100,4,380.15118680087335
100,5,846.1679440489484
100,6,1930.9392246554096
100,7,1638.5512855518894
100,8,2296.8091865446986
100,9,2133.77502879197
100,10,2427.503001299087
100,11,2617.973010824899
100,12,2618.44802914796
100,13,5871.687215242802
100,14,6890.616804475098
100,15,7228.8184176951745
100,16,8312.338608541146
100,17,8184.739456460815
100,18,8192.683104634207
100,19,8334.284350902384
100,20,9316.146722052079
100,21,8041.537199539187
100,22,8229.217199767823
100,23,8057.994504800404
100,24,7473.722202091514
100,25,6829.477661043403
100,26,6259.409676453403
100,27,5292.063359755319
100,28,4972.4774000718
100,29,4493.497183027141
100,30,4149.799005029269
100,31,4141.310718194325
100,32,4114.146172104849
100,33,4005.691829383353
100,34,4087.9237827999746
100,35,4345.689583725407
100,36,5417.479729771746
100,37,5887.473315423315
100,38,6856.5018017325865
100,39,7350.6301656741125
100,40,6909.191810031637
100,41,6545.8809653137
100,42,6805.489774543072
100,43,7181.792361115659
100,44,7559.110926539033
100,45,9008.213510420972
100,46,7791.654040150353
100,47,3926.842222729829
200,1,190.27206456648875
200,2,237.1385601978649
200,3,268.41387206074205
200,4,402.1353369681447
200,5,787.664743890568
200,6,1884.9116971959502
200,7,1447.533014894097
200,8,1590.9804353446962
200,9,1550.6159561941477
200,10,1645.5500402086623
200,11,1719.1204125836946
200,12,1846.1116029629932
200,13,6795.605674021073
200,14,7071.58512520347
200,15,7266.323879828052
200,16,8750.8640666202
200,17,8849.418037115332
200,18,8639.335497873974
200,19,8772.420587088913
200,20,9616.742327923299
200,21,9137.943530641556
200,22,8541.929125013234
200,23,8114.1513968199915
200,24,7877.313546477606
200,25,7430.375320289245
200,26,7037.682681391529
200,27,6360.166717704316
200,28,6055.819295114882
200,29,5585.069572356244
200,30,5149.340628015673
200,31,4939.456606034708
200,32,4597.1300517703085
200,33,3938.683239607605
200,34,4433.013311994104
200,35,4568.982995015601
200,36,5544.503529657202
200,37,5970.578557204667
200,38,7080.699922241335
200,39,8174.780860837357
200,40,7453.325874930845
200,41,7427.650916351631
200,42,7841.2578144759045
200,43,7622.380721024887
200,44,7754.79419355646
200,45,8972.30865799795
200,46,8062.736720750113
200,47,5377.995827685263
300,1,190.27206456648875
300,2,236.59675200155016
300,3,267.89844428478006
300,4,307.7719355978284
300,5,829.2174000759157
300,6,1904.3871093881803
300,7,1631.7381652623699
300,8,2210.4767093136197
300,9,2259.0469602827307
300,10,2347.362249233264
300,11,2486.7405082501714
300,12,2440.8438426571715
300,13,5199.908812407233
300,14,5877.657320631297
300,15,6203.615692631673
300,16,7219.912149387783
300,17,7137.319125018984
300,18,6661.788472509811
300,19,6874.546114344078
300,20,7727.475853708793
300,21,7361.025906338898
300,22,7533.942491703623
300,23,7288.016386688129
300,24,6282.004908240007
300,25,6074.4461742172625
300,26,5924.170372884605
300,27,5340.508504253351
300,28,4942.163335305626
300,29,4452.6602041826145
300,30,4063.389866091327
300,31,4189.400691382392
300,32,4185.329767559217
300,33,4179.41191086816
300,34,4279.235372671237
300,35,4600.9349957303175
300,36,5526.690015724846
300,37,6123.493972053794
300,38,7208.530253094805
300,39,7780.883189220923
300,40,7224.695802966867
300,41,6926.563823590901
300,42,7270.572798642515
300,43,7582.595090188948
300,44,7619.123823083559
300,45,7680.944132709304
300,46,4748.6029782694895
300,47,3386.7174047493672
400,1,190.27206456648878
400,2,235.4430652390109
400,3,266.9812121938185
400,4,346.9123043251547
400,5,941.1852987873118
400,6,2594.6490574855966
400,7,1757.02448051264
400,8,1631.828751990344
400,9,1555.8178349912057
400,10,1544.8876334694528
400,11,1537.4267186077755
400,12,1474.1050548386345
400,13,5783.4243101720185
400,14,6392.827949861524
400,15,6817.34832068666
400,16,7850.260204315642
400,17,7771.426849756695
400,18,7226.421403351444
400,19,7169.001786817799
400,20,7881.22241848326
400,21,7347.2566320775695
400,22,7148.257714703639
400,23,6863.983829029092
400,24,6561.772364137192
400,25,6278.939061436761
400,26,6211.558208509727
400,27,5879.960822289076
400,28,5675.008778232109
400,29,5381.41758321238
400,30,4892.003477830403
400,31,5213.785456487027
400,32,5576.029394938441
400,33,5369.1997571521
400,34,5726.06238147929
400,35,6097.143679157539
400,36,7150.7253903205465
400,37,7345.747091990191
400,38,8369.453784156429
400,39,8382.044066029575
400,40,7161.794019650141
400,41,6292.771845990152
400,42,5443.5102716983165
400,43,4883.720978743617
400,44,4783.40645703281
400,45,5915.951845937914
400,46,5817.317397065864
400,47,4418.502270251906
500,1,190.27206456648892
500,2,236.20419627554028
