iter,lower_bound_batch_avg
1,83532.62548758865
2,191960.86723669834
3,330758.9047658957
4,411445.98867542343
5,667501.5384527168
6,632414.5187042266
7,630091.2893419242
8,514114.22008786595
9,702855.3863757153
10,653900.907995593
11,653784.3140345488
12,646869.230737814
13,650822.6100374593
14,767643.7970893763
15,714132.2959483364
16,472347.5768046
17,670300.9996929881
18,791572.4038435454
19,883178.1406355167
20,525701.9009750874
21,729830.3443030453
22,744386.9532047205
23,691936.6730460258
24,712157.6588636723
25,645569.2173289162
26,545300.0685700248
27,893336.1685520005
28,655462.0407169844
29,805099.9235586163
30,865603.7011260423
31,789575.7174228613
32,768827.8113224858
33,674933.2825776992
34,708000.600986029
35,574255.6073808793
36,776448.7245971537
37,856802.5933607817
38,949957.9151039558
39,516830.42194620374
40,644797.7579336967
41,871558.7710139789
42,727791.7053614687
43,608307.876957231
44,783324.5073701986
45,617281.6655520948
46,668004.9661978476
47,837195.7753303646
48,553837.2071137715
49,804097.5016697159
50,672768.8517292727
51,673650.7932008873
52,578023.1480195585
53,647485.4803466839
54,746169.6281458332
55,592069.8078493928
56,698404.190102655
57,799395.0189225918
58,738173.0848749073
59,892453.5289762514
60,593721.4636290325
61,593144.5550678053
62,819227.0176312365
63,578745.9020154607
64,826181.5525913697
65,566778.8155166918
66,847228.1691832207
67,654767.3444353852
68,743034.6153246884
69,794397.3847397463
70,670430.6976328506
71,712499.3106157407
72,584631.1868695396
73,856619.1240351272
74,616331.6753981864
75,588673.0252606282
76,774275.9875374567
77,704741.3618149741
78,809957.7053587076
79,641455.9316252668
80,747507.7398867717
81,642991.1193070855
82,567191.0322678621
83,680550.8626997671
84,802064.9417085135
85,776026.819864007
86,637421.3094597071
87,752645.3375708719
88,586724.1656991991
89,820427.3780265737
90,897273.0410883848
91,581891.1681768458
92,652217.7175544824
93,624388.7219557456
94,750060.9244788653
95,586715.9591810677
96,657811.6843520702
97,533888.3312665455
98,657759.057951029
99,547275.3360640447
100,710976.637861809
101,619022.1226997692
102,401299.8439893537
103,552685.1142032058
104,729336.8990453947
105,728553.882935449
106,703935.0014818794
107,612193.4844681658
108,622923.1647143419
109,617282.7305800348
110,682990.5362692056
111,488262.0492164042
112,698199.678015676
113,653343.4945959495
114,597345.9246229583
115,788216.0966095007
116,676609.3373308938
117,742488.3266143564
118,575929.548077754
119,518622.32396939554
120,758766.4223432676
121,623295.7024135526
122,799226.8267781038
123,922265.4498968553
124,795798.7768482852
125,795353.151244394
126,677639.0655128034
127,616971.8757350908
128,701903.2506037967
129,895024.8728053446
130,709356.8268966042
131,659335.7846699144
132,628553.0825195139
133,702399.6835739723
134,745715.9816373189
135,805653.0906843988
136,801959.2629939342
137,743055.2083623137
138,718608.8845301993
139,547606.9904321579
140,619804.0804867075
141,608003.708899644
142,631773.064277762
143,635728.872786694
144,720273.8100715845
145,818581.5555737971
146,878209.8446849197
147,831023.4912693212
148,777092.3495209338
149,559012.4922786001
150,508153.85766517377
151,608970.8137018249
152,738810.1828093086
153,761396.4881516689
154,593688.5004017792
155,680187.4720519364
156,657854.2923870638
157,758300.7854457595
158,545417.2152680606
159,536596.9628539581
160,642670.0285192828
161,635065.2660774374
162,609081.6875878975
163,474334.3214068342
164,663125.3035707069
165,793549.3044653458
166,491117.5282415497
167,1028584.2492342344
168,750774.0847577772
169,888757.5447593776
170,870357.2946437026
171,763445.9876114554
172,973847.4152519306
173,881283.3292610571
174,757967.5289935723
175,589468.8957001839
176,765652.57001364
177,884215.8958968061
178,639494.6669992013
179,727399.0035248715
180,549184.6356751516
181,681336.5046660022
182,631718.5447424857
183,673500.231972638
184,815763.0573866372
185,629764.6262376233
186,737678.3551289273
187,604543.4283133536
188,668836.4429725343
189,531803.1384628754
190,723375.5658897989
191,655039.5715430626
192,648162.7866510854
193,541566.9410244522
194,652850.4513028616
195,622264.5065915978
196,664773.5822336671
197,600656.8305471096
198,561404.9667731908
199,687682.8736926327
200,940957.8067067306
201,650385.6154515606
202,732781.8098503461
203,633278.5857109744
204,785122.1204826585
205,712706.4671037664
206,801783.6628320983
207,723067.8959611701
208,611982.4181851272
209,764187.1374235211
210,800012.807465577
211,904413.8262897227
212,570634.3752402388
213,693485.652165059
214,850790.3006865791
215,619868.5602507142
216,697035.0405983139
217,628856.0402163225
218,675716.0393391886
219,816124.8751449282
220,735433.8121662267
221,708777.6539973904
222,605988.4197975076
223,639486.1650276445
224,739202.5036018908
225,760017.1059887793
226,875185.0223797113
227,851440.2007569283
228,770035.1771236691
229,854297.1896652072
230,670696.6635678533
231,645875.9767785546
232,760507.5655269884
233,603560.099251597
234,657650.5450890742
235,633459.9316220195
236,866269.1292893923
237,744545.3757889392
238,748699.6933939403
239,655342.5990796052
240,651148.0937877351
241,613628.2921374118
242,585255.9222120645
243,730163.8834673502
244,741108.0990852437
245,668111.672000269
246,584613.5499930051
247,527866.4418144447
248,576836.6813451377
249,587802.2767616014
250,702682.0300409812
251,719739.8110476234
252,603508.0973164425
253,613918.543845248
254,760005.1592697932
255,636925.8864716901
256,700503.5720382823
257,633233.7199362268
258,612407.3143053667
259,852506.9261557265
260,893130.9656826542
261,526030.2224772254
262,686335.0230119724
263,814745.0604298819
264,752858.5300524816
265,571814.301215207
266,735675.9912258276
267,801502.1064300106
268,628704.0954525962
269,614616.8067083821
270,752747.8327503123
271,745757.2530544417
272,767386.9597109396
273,716154.0329834607
274,810998.9775778586
275,517160.44160372694
276,815605.2185820639
277,491270.8065342497
278,781454.105895531
279,640895.202590693
280,646802.4578565536
281,751931.0268863069
282,726236.0909919522
283,707667.060231643
284,715940.0921009392
285,659091.1826516931
286,665687.6077240477
287,738488.8793229779
288,729296.997041902
289,869348.6757200205
290,740527.0837521905
291,651982.8577909314
292,867022.2470745132
293,732770.1163655822
294,697812.4712166892
295,474131.0677103009
296,689285.9797461872
297,586522.4522841021
298,789619.7501950641
299,585804.3978608053
300,605943.3856660379
301,652311.9074680281
302,904061.6406278182
303,780537.1470555442
304,765934.1737637566
305,820945.0697268688
306,542405.1948406396
307,742862.1635675617
308,734376.3815452189
309,907688.5362229527
310,726165.0353779576
311,759038.1400839913
312,633886.8053937939
313,760974.7131671698
314,723304.3212880231
315,609110.5399921689
316,613491.895519826
317,641426.9762289051
318,610289.2718195016
319,559197.169511371
320,582311.958484814
321,649497.0948476226
322,684440.3853633254
323,797543.9301092036
324,710181.8369530967
325,713338.6065268721
326,682925.6771493237
327,721403.9079256246
328,933825.2526874815
329,770278.951708713
330,802302.5993969063
331,790437.9551161056
332,729475.726129265
333,917409.694246258
334,836380.806158498
335,687409.8362987012
336,513419.56128669175
337,823741.0437736769
338,850553.7382474903
339,659585.0582452072
340,778050.7577664331
341,797577.5613720051
342,691676.9653429501
343,780232.9229139665
344,893785.2606773546
345,681134.5032384393
346,669632.5045434632
347,695229.1750165027
348,573971.0552792246
349,726141.2279556162
350,616422.2147902916
351,672437.6725605956
352,803599.7087666548
353,622541.1553855953
354,471902.5765235636
355,649766.5996971118
356,749240.7000061083
357,574316.1793327994
358,640194.6921858962
359,704354.0705918958
360,595787.4054914423
361,647811.7212418418
362,592194.9914589464
363,745424.0769716322
364,707543.6149675699
365,529574.9377764451
366,462641.49728562473
367,811452.9391926703
368,662899.7744240774
369,689672.4397337545
370,818523.6905819986
371,749100.8411092625
372,660624.6859230341
373,617285.0586024707
374,538061.2173188736
375,557304.4903375284
376,721701.3604231533
377,744517.5221217964
378,720007.9654045184
379,581499.7658622259
380,810583.074540013
