N,train_M,test_M,SDDP_in,SDDP_out,train_time_s,online_ms_per_path
100,1000,1000,72884.29236700118,73687.18945897778,57.346,71.066
200,1000,1000,75387.39460729841,76243.9993550577,122.526,74.747
300,1000,1000,73680.4984470952,74429.81009064453,191.965,74.052
400,1000,1000,75590.52865483574,76252.82990403702,255.91,86.956
500,1000,1000,77669.875316168,78558.72957445595,333.097,71.68
600,1000,1000,75207.57876341352,75747.02306361288,373.06,73.274
700,1000,1000,76084.84689174365,76833.20096269611,410.349,76.746
800,1000,1000,75567.1775293674,76235.28205094,478.633,72.653
900,1000,1000,75444.44348437476,76125.52701627968,526.213,72.942
1000,1000,1000,76762.17928029387,77494.82740118417,583.505,72.616
