N,t,std_last5
100,1,190.27206456648875
100,2,236.44657284007698
100,3,267.81114853300477
100,4,380.15118680087335
100,5,846.1679440489484
100,6,1930.9392246554087
100,7,1638.5512855518894
100,8,2296.8091865446977
100,9,2133.77502879197
100,10,2427.5030012990874
100,11,2617.9730108248987
100,12,2618.44802914796
100,13,5871.687215242802
100,14,6890.6168044750975
100,15,7228.8184176951745
100,16,8312.338608541144
100,17,8184.739456460814
100,18,8192.683104634207
100,19,8334.284350902382
100,20,9316.146722052077
100,21,8041.537199539185
100,22,8229.21719976782
100,23,8057.994504800401
100,24,7473.7222020915115
100,25,6829.477661043401
100,26,6259.409676453401
100,27,5292.063359755316
100,28,4972.477400071797
100,29,4493.497183027138
100,30,4149.799005029267
100,31,4141.310718194322
100,32,4114.146172104846
100,33,4005.6918293833505
100,34,4087.923782799972
100,35,4345.689583725405
100,36,5417.479729771744
100,37,5887.473315423314
100,38,6856.501801732583
100,39,7350.630165674108
100,40,6909.191810031631
100,41,6545.880965313694
100,42,6805.489774543066
100,43,7181.792361115652
100,44,7559.110926539026
100,45,9008.213510420965
100,46,7791.6540401503435
100,47,3926.8422227298215
200,1,190.27206456648875
200,2,237.1385601978651
200,3,268.41387206074177
200,4,402.1353369681445
200,5,787.6647438905677
200,6,1884.9116971959497
200,7,1447.533014894097
200,8,1590.9804353446962
200,9,1550.6159561941474
200,10,1645.550040208662
200,11,1719.1204125836941
200,12,1846.1116029629934
200,13,6795.605674021074
200,14,7071.58512520347
200,15,7266.323879828053
200,16,8750.8640666202
200,17,8849.418037115332
200,18,8639.335497873974
200,19,8772.420587088913
200,20,9616.742327923299
200,21,9137.943530641556
200,22,8541.929125013234
200,23,8114.1513968199915
200,24,7877.313546477605
200,25,7430.375320289245
200,26,7037.682681391527
200,27,6360.1667177043155
200,28,6055.819295114881
200,29,5585.069572356243
200,30,5149.340628015673
200,31,4939.456606034707
200,32,4597.1300517703085
200,33,3938.6832396076047
200,34,4433.013311994104
200,35,4568.982995015602
200,36,5544.503529657203
200,37,5970.578557204668
200,38,7080.699922241337
200,39,8174.780860837357
200,40,7453.325874930846
200,41,7427.650916351632
200,42,7841.257814475905
200,43,7622.38072102489
200,44,7754.794193556461
200,45,8972.30865799795
200,46,8062.736720750115
200,47,5377.995827685263
300,1,190.27206456648875
300,2,236.59675200155021
300,3,267.89844428478
300,4,307.7719355978279
300,5,829.2174000759156
300,6,1904.3871093881799
300,7,1631.7381652623696
300,8,2210.4767093136197
300,9,2259.0469602827307
300,10,2347.362249233264
300,11,2486.7405082501714
300,12,2440.8438426571715
300,13,5199.908812407233
300,14,5877.657320631296
300,15,6203.615692631672
