t,last5_index,Vhat
1,1,6135.320842873642
2,1,8211.833848035105
3,1,7529.741538917135
4,1,6706.910536314297
5,1,7640.5915589568485
6,1,9270.723659806565
7,1,6395.6194442896
8,1,5679.477361191313
9,1,6516.71470827835
10,1,5955.878159008253
11,1,6301.251078796239
12,1,7245.25700999516
13,1,7583.978875472429
14,1,7528.978267992165
15,1,9677.351599700356
16,1,9108.64330959631
17,1,9146.575042139368
18,1,8667.11566681571
19,1,7853.393871963574
20,1,7546.649480031412
21,1,7350.053313196782
22,1,8996.943062379134
23,1,8500.185287995866
24,1,8104.289605071915
25,1,7892.237053815516
26,1,7630.705539936107
27,1,7402.329698105066
28,1,6221.461963943676
29,1,5532.4047071476
30,1,4814.4605181318875
31,1,4378.167643004347
32,1,3899.1467855850533
33,1,3624.2760663561353
34,1,3346.9681777222904
35,1,4955.752517149964
36,1,5029.065186767873
37,1,5340.535221432059
38,1,5245.843342468206
39,1,5210.709129085795
40,1,5099.036842041564
41,1,5396.173477542881
42,1,5169.7074353831795
43,1,4794.160232441789
44,1,6179.87038171605
45,1,7000.147501881019
46,1,8371.013930753568
47,1,8923.471883693748
1,2,6481.140547450177
2,2,6477.6414828711895
3,2,5958.853507532341
4,2,5334.135336631286
5,2,4124.511326049967
6,2,3529.467997329575
7,2,3226.3883566491068
8,2,4495.195413820587
9,2,5425.293357245984
10,2,6212.953852906616
11,2,7922.154777449239
12,2,10728.06316869816
13,2,24743.13720940704
14,2,27491.395118782533
15,2,29323.472562621137
16,2,30593.482059289083
17,2,30433.825910103857
18,2,29989.074126341966
19,2,29335.93303409362
20,2,29181.559543126197
21,2,28486.21040539787
22,2,28255.717993250466
23,2,27975.42749365535
24,2,26971.711370068246
25,2,25638.580019175763
26,2,24621.456916889736
27,2,23001.38723434537
28,2,20808.697731617714
29,2,18716.57302199157
30,2,16933.415699743724
31,2,15952.908101405614
32,2,14808.093709080136
33,2,14434.213574430365
34,2,14204.66592578484
35,2,14290.220140109644
36,2,15751.36827157092
37,2,16309.002573217165
38,2,20332.36227261484
39,2,20293.91955577357
40,2,21407.393847834308
41,2,22939.501927769543
42,2,24605.024510237185
43,2,25545.21749694668
44,2,25506.53967936778
45,2,20081.384525847912
46,2,21075.34881571647
47,2,17490.882496399016
1,3,6270.132686842277
2,3,6065.21351294796
3,3,5601.745419357457
4,3,4618.558145310204
5,3,5657.143179830199
6,3,6707.3880456240795
7,3,7615.240725534847
8,3,8689.611220368452
9,3,9252.696680360632
10,3,9685.648423114231
11,3,11730.155130528077
12,3,13079.407025905024
13,3,15760.121806097817
14,3,18334.599594858162
15,3,20395.36367858687
16,3,22427.09022917603
17,3,21862.26421554839
18,3,21507.616387842616
19,3,20567.696925849676
20,3,20764.180364876178
21,3,20048.80339137668
22,3,20364.253142782036
23,3,19899.29338477167
24,3,19116.53575906363
25,3,18022.56669455645
26,3,17039.709753756877
27,3,15462.086552930152
28,3,13704.534564617621
29,3,12015.921314424912
30,3,12417.360567142889
31,3,11408.264807558782
32,3,10858.852475858957
33,3,11049.161160663021
34,3,10940.87134189183
35,3,12714.222083823262
36,3,14354.446352703128
37,3,15011.325239339303
38,3,17556.23102618197
39,3,18444.7579711055
40,3,18945.295812685006
41,3,19886.199389837006
42,3,20283.902568361278
43,3,21100.871572409116
44,3,20433.49775629305
45,3,18405.687487477822
46,3,17540.965591839282
47,3,15774.889690460624
1,4,6282.8769838538665
2,4,6258.809933357203
3,4,5962.137249899771
4,4,5587.598402144419
5,4,4433.810033044686
6,4,3935.1138100034486
7,4,3479.9864580349335
8,4,3220.4057837800838
9,4,4321.62079002648
10,4,5262.8443299662395
11,4,6967.602157250411
12,4,9378.782176622162
13,4,11760.60939418986
14,4,14301.493212168396
15,4,14523.704914514688
16,4,13847.465579672004
17,4,13422.38014282081
18,4,14745.651877019522
19,4,14056.942939506864
20,4,12161.024503288238
21,4,11545.866900897927
22,4,11145.768474888642
23,4,12557.654255824204
24,4,14063.054843196036
25,4,12943.831139022048
26,4,11992.594136963227
27,4,11654.221460747034
28,4,10229.21040008201
29,4,9021.871100066906
30,4,8183.076888209396
31,4,7294.907424480166
32,4,6560.6939320921
33,4,6673.255637265674
34,4,6610.95708366596
35,4,6341.154225713713
36,4,6099.259651109259
37,4,7661.32387781021
38,4,9513.415675026705
39,4,11313.261468149443
40,4,13116.457761029938
41,4,15171.115901855243
42,4,17078.894459628813
43,4,19661.15109461134
44,4,20905.819941251695
45,4,19064.05461428438
46,4,18399.836839106643
47,4,16704.499627669775
1,5,6128.841264976973
2,5,8161.706042024993
3,5,8020.889369604875
4,5,7301.7267072045925
5,5,6135.441601385877
6,5,5177.3157342497325
7,5,6235.887327469638
8,5,7417.070939736041
9,5,8127.769910381437
10,5,8686.37027226487
11,5,10545.54466602267
12,5,13424.341230892558
13,5,16163.027072349018
14,5,18775.756950961128
15,5,20853.54892397421
16,5,22075.927922354753
17,5,23480.387344454335
18,5,24793.58375299862
19,5,25502.032815810842
20,5,28094.170346890125
21,5,25388.198307243878
22,5,25248.859082092586
23,5,25097.26034121815
24,5,24916.528011203438
25,5,23574.702348627092
26,5,22716.144109303124
27,5,20995.422161386523
28,5,18819.59498127015
29,5,17093.17785474012
30,5,15466.299418121773
31,5,14296.813738857272
32,5,13251.778695833436
33,5,13468.008876065927
34,5,13454.731326099449
35,5,15329.811546069603
36,5,16195.74312677841
37,5,17885.379767922026
38,5,20113.20298562028
