time,Reservoir1,Reservoir2
1,45.41376562,78.64909333
2,57.96000000,121.36000000
3,57.96000000,121.36000000
4,50.02119683,100.04558404
5,50.04068973,100.08388001
6,0.00000000,0.00000000
7,53.19965951,73.82439914
8,57.96000000,121.36000000
9,57.96000000,121.36000000
10,57.96000000,121.36000000
11,57.96000000,121.36000000
12,57.96000000,121.36000000
13,57.96000000,121.36000000
14,50.20645540,100.42908261
15,50.24121178,100.49760588
16,50.24404509,0.00000000
17,48.43335146,0.00000000
18,0.00000000,0.00000000
19,0.00000000,0.00000000
20,0.00000000,0.00000000
21,57.96000000,0.00000000
22,57.96000000,121.36000000
23,57.96000000,121.36000000
24,57.96000000,121.36000000
25,57.96000000,121.36000000
26,57.96000000,121.36000000
27,57.96000000,121.36000000
28,57.96000000,121.36000000
29,57.96000000,121.36000000
30,57.96000000,121.36000000
31,57.96000000,121.36000000
32,57.96000000,121.36000000
33,57.96000000,121.36000000
34,57.96000000,121.36000000
35,57.96000000,121.36000000
36,57.96000000,121.36000000
37,57.96000000,121.36000000
38,57.96000000,121.36000000
39,57.96000000,121.36000000
40,57.96000000,0.00000000
41,50.34927291,0.00000000
42,12.35235087,0.00000000
43,57.96000000,0.00000000
44,57.96000000,0.00000000
45,57.96000000,0.00000000
46,57.96000000,28.28622724
47,57.96000000,108.32746010
