scenario,WS,EEV,regret
1,81694.18026167,75227.35398942,6466.82627225
2,97602.17947389,80944.93878885,16657.24068504
3,71366.60085343,67984.47991695,3382.12093649
4,89501.36676227,72642.76377994,16858.60298233
5,99917.95794628,84727.02399041,15190.93395587
6,64422.79111412,58234.70056590,6188.09054822
7,84019.56173911,73227.44704818,10792.11469093
8,96279.29055222,93886.82538078,2392.46517144
9,99410.02616760,97461.21799662,1948.80817098
10,88533.21824869,80536.89368917,7996.32455951
11,92936.25220079,88453.21596147,4483.03623932
12,87754.68620053,79972.00741363,7782.67878690
13,74708.17309508,64185.89634936,10522.27674572
14,70653.31423646,60046.84946850,10606.46476795
15,86513.12370323,74171.70191129,12341.42179194
16,84721.86749926,74258.18967182,10463.67782744
17,94695.73815460,84995.65309336,9700.08506125
18,100868.17765761,98918.35689340,1949.82076421
19,93544.72160018,81184.46208851,12360.25951167
20,86937.38678683,78786.21298663,8151.17380021
21,87759.31804925,76073.42965440,11685.88839485
22,94791.17948935,79070.90693052,15720.27255882
23,97901.14925035,83233.58186873,14667.56738162
24,97562.92872397,92998.75831586,4564.17040811
25,113441.62802022,99608.50299875,13833.12502147
26,105349.25951793,98125.53364459,7223.72587334
27,96772.22092294,79928.66139698,16843.55952595
28,106043.37520351,93612.16141875,12431.21378476
29,88239.21318926,77451.81227711,10787.40091216
30,89494.11040104,80889.16101682,8604.94938422
31,106984.73838951,92139.61787589,14845.12051362
32,100521.03311667,86600.40823020,13920.62488647
33,95839.07180179,90335.71121183,5503.36058996
34,110323.40270659,88072.80040874,22250.60229785
35,109571.52477133,97913.62045761,11657.90431373
36,104571.02620981,97607.92390225,6963.10230756
37,101311.07285232,95050.67086158,6260.40199074
38,95655.03781556,89117.47013816,6537.56767740
39,71457.55813923,67112.25750218,4345.30063705
40,89564.07576752,81164.42064319,8399.65512433
41,70374.32267605,65262.54142047,5111.78125558
42,95428.24780642,81733.22624085,13695.02156557
43,111391.68025084,100101.33124815,11290.34900269
44,89683.75953584,70726.95052692,18956.80900893
45,116134.10323842,103946.53051718,12187.57272124
46,94656.12907689,86499.09946187,8157.02961502
47,73074.70957290,67359.58103207,5715.12854083
48,80734.81916632,67693.08875955,13041.73040676
49,90639.42250670,71974.11675869,18665.30574801
50,89542.67046782,73331.41710953,16211.25335828
51,90516.99189929,79746.10569170,10770.88620759
52,92869.01045622,82394.09139252,10474.91906371
53,79289.50378507,69104.89107013,10184.61271494
54,109741.19349325,105390.38333665,4350.81015660
55,92369.97752392,89918.39125105,2451.58627287
56,101606.99132246,88674.18139223,12932.80993023
57,87735.64291764,83268.35263598,4467.29028166
58,91994.45066350,80837.14160137,11157.30906214
59,77761.66958118,65625.50734181,12136.16223937
60,89209.24916440,80194.14049403,9015.10867037
61,93474.22603059,88606.92715080,4867.29887979
62,98234.43757378,87441.39180732,10793.04576646
63,83427.31174260,77440.51392801,5986.79781459
64,88865.85263285,84058.59404321,4807.25858964
65,83203.33972053,75601.75153686,7601.58818367
66,85802.59972429,79008.06479034,6794.53493395
67,88395.31529301,65771.66087580,22623.65441721
68,92044.07449355,82753.28902956,9290.78546399
69,120577.72227501,112867.02977876,7710.69249624
70,90465.13427513,84496.34521304,5968.78906209
71,89620.74508775,79500.34285862,10120.40222913
72,88677.11933610,81858.60347778,6818.51585832
73,71867.44720283,64860.03874065,7007.40846218
74,92688.72702519,85948.55286241,6740.17416278
75,103348.46213918,90256.06419008,13092.39794909
76,91057.51861872,80159.72924964,10897.78936908
77,82048.94199418,76946.49413915,5102.44785503
78,80662.40445191,68992.06954779,11670.33490412
79,98089.64079465,95337.74276041,2751.89803423
80,104595.90845759,92697.26461151,11898.64384608
81,98778.19146151,83302.26105993,15475.93040158
82,102813.09808441,78343.00892309,24470.08916132
83,67841.97137914,54441.92422462,13400.04715452
84,91003.25666880,77530.57182985,13472.68483896
85,86278.31365993,78397.94621257,7880.36744736
86,83444.06195116,76601.47690092,6842.58505024
87,108142.31553944,101010.92791697,7131.38762247
88,93368.67909505,83982.88635690,9385.79273815
89,106616.86282434,94754.33432431,11862.52850003
90,79017.76334482,75298.17844593,3719.58489889
91,99666.72849550,93100.22636192,6566.50213358
92,85279.14429254,76657.43846839,8621.70582415
93,93366.11411792,87591.13967452,5774.97444340
94,85708.44660375,80656.72407844,5051.72252532
95,104124.10399950,98176.17587009,5947.92812941
96,104888.02737191,96174.96108635,8713.06628555
97,97992.65323255,86592.85216414,11399.80106841
98,106159.61471555,101781.98025452,4377.63446103
99,104107.95320444,99193.46694053,4914.48626391
100,75788.68834830,72535.08177761,3253.60657069
101,92249.61195790,84579.52350711,7670.08845080
102,93441.76558732,82187.77806251,11253.98752481
103,97117.74976514,90038.44050535,7079.30925978
104,81507.90710080,67903.93054000,13603.97656080
105,84726.71327388,74828.88571034,9897.82756354
106,79188.23360624,77319.77426093,1868.45934531
107,98599.11334007,94930.56467484,3668.54866523
108,94881.67922294,81362.06671592,13519.61250702
109,99514.65073178,86955.73149567,12558.91923611
110,85455.45046077,78644.00905428,6811.44140649
111,107037.30550658,88704.87911670,18332.42638988
112,116823.80088587,103631.49545915,13192.30542672
113,85389.39994879,82370.80485672,3018.59509207
114,104265.16056574,89643.81802893,14621.34253682
115,112166.56786843,103004.98437793,9161.58349050
116,100974.92837404,99097.71100672,1877.21736732
117,91958.70022298,81772.92041290,10185.77981009
118,80016.86815821,73905.32548757,6111.54267064
119,101518.56471831,89323.77649561,12194.78822270
120,74595.63277940,57327.97830898,17267.65447041
121,94340.76603494,86727.40854991,7613.35748503
122,97777.20169488,78760.35666959,19016.84502529
123,84875.01306956,80444.23908564,4430.77398393
124,91009.43089403,77704.45562899,13304.97526504
125,68895.94947775,64188.09849897,4707.85097878
126,77198.20441578,68545.52882747,8652.67558831
127,100335.82026855,91820.40023851,8515.42003004
128,90750.18493465,82158.60407242,8591.58086224
129,105307.88943310,101379.85613078,3928.03330232
130,110448.18544902,101072.38891795,9375.79653107
131,73487.24944217,62760.40941235,10726.84002982
132,86711.52740049,67170.94496421,19540.58243628
133,87080.79377394,76376.99484922,10703.79892472
134,89924.31649776,77794.82755083,12129.48894693
135,100680.31419407,96720.54235610,3959.77183797
136,90642.24139603,79010.58394213,11631.65745390
137,92904.00279649,87114.06865592,5789.93414057
138,86613.39711162,80873.30011751,5740.09699411
139,81261.00149029,71995.49083731,9265.51065298
140,94685.62159348,81865.68288666,12819.93870683
141,77838.54000483,74374.01747409,3464.52253074
142,85153.95488421,73563.50847778,11590.44640643
143,99396.76738479,84231.56598852,15165.20139628
144,85719.32398334,76321.36165290,9397.96233044
145,95533.55563228,76044.92701334,19488.62861895
146,71892.45447400,63794.09824547,8098.35622853
147,87485.65860155,79026.08436594,8459.57423561
148,88326.07368435,81023.01382420,7303.05986015
149,109489.53354158,94658.41639094,14831.11715064
150,78224.38643296,73424.01934649,4800.36708647
151,89579.65416383,77081.47812000,12498.17604382
152,96722.78178388,95426.17416349,1296.60762040
153,91221.79104994,76828.05713626,14393.73391369
154,95983.17463385,90235.46764695,5747.70698690
155,82143.16148715,75003.41855571,7139.74293144
156,96384.87269756,82998.48680731,13386.38589025
157,82373.32581089,76529.78753754,5843.53827335
158,99585.40049495,94898.96915526,4686.43133969
159,78927.72254217,72906.14612978,6021.57641239
160,92171.69723913,82848.63008370,9323.06715544
161,90565.29198844,87996.60485441,2568.68713403
162,89589.52016658,74232.95219764,15356.56796894
163,86749.62005505,74022.67078273,12726.94927232
164,82536.60531074,72131.32243366,10405.28287709
165,100274.45722652,89737.51017508,10536.94705145
166,73856.39264881,71038.74163172,2817.65101709
167,87754.07916000,78451.28414315,9302.79501685
168,101799.86730706,95858.36472421,5941.50258285
169,92564.47165488,87634.30283165,4930.16882323
170,87831.29334372,75572.30915390,12258.98418982
171,99317.87391376,85389.20754889,13928.66636487
172,81804.32582617,75290.11036424,6514.21546193
173,83676.91610075,71205.79609941,12471.12000134
174,70137.21500564,45961.02610575,24176.18889989
175,96464.63393831,84328.39361544,12136.24032287
176,104685.33386939,95284.53546487,9400.79840451
177,91766.21137750,85914.48899527,5851.72238223
178,91402.88258744,75129.71675811,16273.16582933
179,92280.00337511,88482.88513838,3797.11823673
180,107969.88992587,93909.69722665,14060.19269921
181,88680.89528869,85768.04186496,2912.85342373
182,71292.85195064,56143.92859705,15148.92335359
183,84108.16446094,66716.11289618,17392.05156476
184,89157.60996061,83370.54670977,5787.06325084
185,70296.75199066,60685.34815575,9611.40383492
186,110130.59643966,104187.01685627,5943.57958339
187,97542.40076052,91560.80793897,5981.59282154
188,99388.34253998,91826.22738818,7562.11515180
189,98311.25543920,84419.92465994,13891.33077926
190,81026.82193997,69767.67824213,11259.14369784
191,95453.13860626,87562.49741129,7890.64119497
192,86049.56845371,79644.46646435,6405.10198936
193,68401.78529633,63030.25636065,5371.52893568
194,73036.49355396,67273.06599372,5763.42756024
195,77841.27467466,71302.82011019,6538.45456447
196,90143.04213155,83200.75569729,6942.28643426
197,77840.55455089,66972.91510766,10867.63944323
198,91257.05079949,83355.48923021,7901.56156927
199,87403.39105414,75091.77633112,12311.61472302
200,94338.92656433,83575.11547598,10763.81108836
