scenario,WS,EEV,regret
1,104034.59015277,99394.84385957,4639.74629320
2,82009.05222135,76124.83429370,5884.21792765
3,87039.33024130,79699.51204669,7339.81819461
4,107727.51017399,102343.70180973,5383.80836426
5,95049.91647042,87830.92119120,7218.99527921
6,91421.77054210,88765.53046208,2656.24008002
7,82164.56558329,77703.89574975,4460.66983354
8,76016.31954878,64597.84495594,11418.47459284
9,85022.41576050,79594.20232934,5428.21343117
10,90983.99156945,84267.85239655,6716.13917290
11,83519.44078436,76267.40608662,7252.03469774
12,112594.74919679,105343.73239008,7251.01680671
13,96523.05808517,89612.13131639,6910.92676878
14,90341.87945012,74888.29904985,15453.58040026
15,77542.97074685,69653.13141318,7889.83933367
16,95292.58508476,84168.86099986,11123.72408490
17,95167.77497922,81526.50563005,13641.26934917
18,96639.51210205,79541.33388579,17098.17821626
19,114585.81908356,108005.22203732,6580.59704624
20,71234.49204345,66239.40291332,4995.08913013
21,74292.95603012,63170.24243815,11122.71359197
22,68258.03219105,62636.96196801,5621.07022305
23,80976.34214815,74730.26738317,6246.07476498
24,103035.61779323,98347.89004213,4687.72775110
25,91029.83696412,85031.53568700,5998.30127713
26,82269.20677397,72578.05512567,9691.15164830
27,97719.48601281,90770.07248878,6949.41352403
28,84856.07191611,77729.97378419,7126.09813192
29,89612.85538329,86919.75995034,2693.09543295
30,91388.68487460,85658.42759172,5730.25728289
31,98370.79249709,96521.00238520,1849.79011189
32,99855.64424559,86833.12441787,13022.51982773
33,88237.92748650,86093.13641856,2144.79106793
34,95349.42071443,85215.83586893,10133.58484550
35,88235.94911424,83773.40309587,4462.54601837
36,105808.24196152,93674.24876450,12133.99319702
37,87519.50993067,78464.73501020,9054.77492048
38,105610.95707818,95961.72760599,9649.22947219
39,80547.35476754,69955.48674958,10591.86801796
40,114530.73960142,101488.72087018,13042.01873125
41,97121.57156942,94144.87024915,2976.70132027
42,90263.64973432,82760.01049524,7503.63923908
43,67677.52151281,53652.98430690,14024.53720592
44,95033.13452548,92952.23886628,2080.89565920
45,74765.49996167,61603.02773612,13162.47222555
46,93666.88919555,89353.26128108,4313.62791446
47,100997.78884481,96474.75490986,4523.03393494
48,103435.29433075,98436.69802821,4998.59630255
49,85394.48341870,67318.52952657,18075.95389213
50,83997.59896675,71451.59399733,12546.00496942
51,92248.53202716,87804.31700047,4444.21502669
52,84574.21755989,80942.75387502,3631.46368487
53,95201.18862769,88123.95042451,7077.23820318
54,86307.11020385,81556.55279792,4750.55740593
55,111789.44980995,105048.91778404,6740.53202591
56,100572.89220514,92989.16230536,7583.72989978
57,97879.91211825,93967.52194811,3912.39017014
58,92702.30765497,86253.34097780,6448.96667717
59,108750.08262910,103507.77183556,5242.31079355
60,106227.64759658,101380.08156574,4847.56603084
61,90642.99262845,83418.43999406,7224.55263440
62,104816.70245524,97180.91496571,7635.78748953
63,87142.12214745,76561.11215933,10581.00998812
64,109930.31067968,109011.06846844,919.24221124
65,97129.36399243,74400.46893229,22728.89506014
66,97618.81355033,90619.29895207,6999.51459826
67,97251.97340794,93931.43441344,3320.53899450
68,110890.31497595,85192.01981705,25698.29515890
69,84498.33011799,76854.43314677,7643.89697122
70,83441.96762678,64609.57867328,18832.38895350
71,111735.83111075,104199.09972864,7536.73138211
72,100413.27715318,96834.82246252,3578.45469065
73,85433.47420614,72033.71641532,13399.75779083
74,105103.72314536,97449.39474477,7654.32840059
75,97330.66043194,89729.94415208,7600.71627986
76,89568.27486341,84873.71208212,4694.56278129
77,96241.21397184,76222.42043717,20018.79353467
78,72489.06072844,66846.71253699,5642.34819145
79,97455.16564966,72447.99584111,25007.16980855
80,92965.25838291,80374.18846915,12591.06991377
81,95126.06274085,85086.55497385,10039.50776700
82,94755.69631899,90811.76464751,3943.93167148
83,97231.63586863,88330.88483197,8900.75103667
84,84695.11574954,79408.64768211,5286.46806744
85,97173.32842854,91164.57069322,6008.75773531
86,83466.57180803,77421.75638328,6044.81542474
87,93370.69671562,87981.25626354,5389.44045208
88,89714.93399968,78796.44038120,10918.49361848
89,100457.60221859,88966.89378352,11490.70843506
90,75157.29296139,56233.47141987,18923.82154152
91,94722.19338129,89325.29546146,5396.89791983
92,113385.52984944,107472.75763546,5912.77221398
93,97251.44260584,92862.24118849,4389.20141735
94,103611.02435625,96792.55404074,6818.47031551
95,102538.11683309,88634.07501078,13904.04182231
96,107573.92715272,106625.50730892,948.41984380
97,124606.01682926,115254.28292462,9351.73390464
98,77293.80120133,67402.38892835,9891.41227298
99,93777.70054799,89091.40977541,4686.29077259
100,88751.30745664,83464.21866139,5287.08879525
101,86417.00747538,77442.52241168,8974.48506370
102,89648.19707023,82248.19427655,7400.00279368
103,88263.82019359,83898.52365816,4365.29653543
104,106341.82509054,91452.98900701,14888.83608353
105,76289.89876537,69221.28652105,7068.61224433
106,88354.19509830,70329.77444896,18024.42064934
107,117670.84265848,108519.64038301,9151.20227547
108,97171.08931781,87402.55303244,9768.53628537
109,82673.58923588,71869.31630199,10804.27293389
110,90434.75098665,78025.69372277,12409.05726389
111,93346.50774090,84236.62398733,9109.88375357
112,81592.83040160,73126.56843455,8466.26196705
113,97326.77680287,89034.83245297,8291.94434990
114,99196.31606450,90544.57311888,8651.74294562
115,95120.25935847,89652.77751538,5467.48184309
116,100304.39206617,86634.96813629,13669.42392988
117,81296.91049916,76382.43807288,4914.47242628
118,90473.97334231,88643.08554149,1830.88780082
119,92335.59880392,86332.76486358,6002.83394034
120,95360.81963704,85842.73143793,9518.08819911
121,99098.07116874,95014.52324432,4083.54792442
122,74503.16316676,53252.82424315,21250.33892361
123,93038.39491206,84989.54226249,8048.85264958
124,83116.60289276,68553.51826122,14563.08463154
125,90877.47730038,80646.42299969,10231.05430069
126,81549.52566096,77494.80605647,4054.71960449
