iter,lower_bound_batch_avg
1,79477.17190159581
2,156222.45715698652
3,134588.24671721202
4,154526.415969848
5,150983.91903428844
6,155287.0868634517
7,131085.83165197415
8,141948.64267906916
9,151577.40039087663
10,134934.88413442828
11,172348.47845497035
12,126058.21663508678
13,146727.02119753128
14,146757.30896593258
15,135887.13899955843
16,194280.08513310985
17,132687.72470813306
18,156451.32540854358
19,146421.89963288285
20,147129.7566992874
21,150293.34121461428
22,157863.35365219225
23,129359.66226047816
24,149476.3677968527
25,135867.63293530306
26,129863.18390129216
27,137016.79709104152
28,127455.14191873782
29,133107.0831926501
30,138856.13505985477
31,128369.53981404011
32,154997.8378121957
33,140189.74665389967
34,172198.6957971151
35,138550.26677844228
36,139256.36263080305
37,138595.11317172635
38,129270.08991230297
39,141504.84856155445
40,131826.64774633956
41,162405.75105888338
42,168395.3237622668
43,139159.75759917276
44,133617.0298683052
45,143316.9339852975
46,147213.25742565925
47,132221.5733864744
48,133517.3673827424
49,135420.34054291993
50,163874.41013408033
51,156326.23308376482
52,127794.97352712945
53,128201.11030361989
54,147972.40730167725
55,157672.62338220046
56,142547.67017273145
57,124740.9809125741
58,132547.8440982084
59,129526.92607065543
60,138375.60929208176
61,127274.12425531726
62,127760.34093918791
63,127672.05004931566
64,132346.7799286077
65,127924.9539087452
66,129604.8729915737
67,136827.5156105865
68,161789.1055783002
69,142311.26042085583
70,146779.52165611938
71,145236.10492446314
72,137645.62911074405
73,132731.90950488858
74,168510.17489187108
75,136193.71907507424
76,136423.71682242496
77,128234.08010439367
78,144902.13062205148
79,125231.36637968807
80,151303.71523365687
81,139834.7081380299
82,171341.8372240324
83,136977.26245147624
84,136453.46731335847
85,133395.2466847775
86,147688.12802044273
87,157961.62029384705
88,127244.18216065521
89,159397.10503609374
90,143964.04393227812
91,158344.40931267088
92,146975.7832042522
93,159348.835315097
94,135390.9989049066
95,138212.07060305684
96,182927.52865682787
97,138895.01347016165
98,137768.6806699969
99,205179.3499117019
100,141002.51547168265
101,157889.7108365192
102,170579.2788317371
103,152774.0284611103
104,143289.71879587346
105,148111.74426775973
106,131656.27954423625
107,188895.3973328653
108,148567.1642497252
109,135389.92974190827
110,145413.64948739042
111,138307.31769695238
112,179233.52475984875
113,152063.26078285952
114,157202.54092306748
115,140330.94931258034
116,128520.17144660914
117,150103.88082905405
118,131910.32377082208
119,134447.86912260193
120,126761.54134568595
121,141232.63123379913
122,139532.38202109264
123,165412.3688221561
124,162407.67615802927
125,122976.86588793359
126,139670.3944404655
127,156301.5993094482
128,125957.13182647896
129,156875.7851206977
130,162963.3237457529
131,146700.35746061988
132,179972.34825398918
133,126166.84537772412
134,153445.71002947196
135,136069.1746398035
136,141938.6791631697
137,138892.33936664936
138,179572.6303740429
139,132279.35628813205
140,131814.5103660416
141,139278.57428474154
142,150215.08557043696
143,144128.25519286474
144,152820.55721261114
145,134793.76310195753
146,130881.4063207246
147,125915.13810834823
148,139414.16319028178
149,135368.950958561
150,121728.81229167039
151,132876.35094082443
152,125120.62219056906
153,149878.43015426438
154,122356.86039941656
155,145665.34816621715
156,135824.099444364
157,132205.5248869424
158,135193.50180454523
159,152524.28524270182
160,153494.65312390507
161,143476.75784674933
162,139533.04130842004
163,138669.81157166895
164,126968.75955763794
165,138449.4463031214
166,145694.9066971761
167,136500.45111634774
168,135032.8253080248
169,132412.7759204895
170,142130.7696327698
171,152925.68627083246
172,181806.47796513673
173,127331.52844114645
174,139432.37181973777
175,130754.33669636738
176,132087.34343686322
177,134552.30634389893
178,124012.57855584146
179,134169.6533443679
180,139963.75833141882
181,140242.227968053
182,147556.78143575438
183,156579.0524989169
184,172877.44762043754
185,193907.23809966512
186,125247.5961693975
187,142857.9757856121
188,131808.63459425833
189,131529.69162501133
190,165984.96747832824
191,186148.37031019595
192,172339.38037922845
193,132119.26460314472
194,133509.77939706232
195,131315.83635377258
196,158861.64958736434
197,178710.26969059234
198,136124.12971394788
199,175067.942744698
200,155665.66661495337
