t,last5_index,Vhat
1,1,4182.778494502605
2,1,4525.200609469375
3,1,4454.048106067387
4,1,4018.4163363330435
5,1,3490.890662787729
6,1,2425.934593923838
7,1,2058.142730192337
8,1,1907.907337543925
9,1,1929.7708927899484
10,1,1616.826585764791
11,1,1498.473277889725
12,1,1383.6010100183876
13,1,1386.799572384315
14,1,1750.0141380043638
15,1,2179.3246609177986
16,1,2844.3661144861567
17,1,3119.9912188830276
18,1,2912.7848077095728
19,1,2622.5856723633756
20,1,2476.261549526371
21,1,2326.9119234764294
22,1,2416.5744347314085
23,1,2422.6241618408167
24,1,2517.1340301364085
25,1,2010.8424300765682
26,1,5076.045377818998
27,1,4683.480532187517
28,1,4193.071963741906
29,1,3373.0220713444187
30,1,2388.1995345064947
31,1,1741.8149244634774
32,1,1625.2340999609626
33,1,1846.6674878062206
34,1,1984.2845335402278
35,1,2078.776873293862
36,1,2251.9223357510923
37,1,1794.6677572838566
38,1,1661.6897918901313
39,1,1696.5476837922815
40,1,1922.4236104364772
41,1,1934.4742118351305
42,1,2361.10467970274
43,1,2118.1510722918324
44,1,2008.1492216395582
45,1,1884.639372393977
46,1,2481.283553299113
47,1,2620.5223683361023
1,2,4175.788320733664
2,2,4861.591095799065
3,2,5401.592021089367
4,2,4711.51400570542
5,2,4058.872122595477
6,2,3001.2362107392228
7,2,2881.7432691252347
8,2,2542.72720308015
9,2,2095.1289807244193
10,2,1754.2083124229591
11,2,1769.4272174569664
12,2,1696.3696691277978
13,2,1756.1032958387182
14,2,2135.400690864693
15,2,1743.0740859655907
16,2,3759.568731289377
17,2,2972.7791337296676
18,2,4701.71554953598
19,2,4558.280781646087
20,2,4351.097706071996
21,2,3388.080463524193
22,2,4088.183691950214
23,2,4010.110849480579
24,2,4001.4197382300067
25,2,4402.80358403151
26,2,5031.056067340468
27,2,4840.40905002416
28,2,4642.770790366475
29,2,4191.482260949797
30,2,3741.8907154433537
31,2,3361.2302953415206
32,2,2699.283429833081
33,2,2382.47314182836
34,2,2218.3134826589826
35,2,2250.6513779027373
36,2,2375.227374714883
37,2,2228.29290405059
38,2,2203.5143578420293
39,2,2606.387494424938
40,2,3145.923478248775
41,2,3321.5158854067167
42,2,3524.5679359920796
43,2,3389.5565342132677
44,2,3044.848464772402
45,2,2961.81537963977
46,2,2769.3688448540515
47,2,795.7791534653127
1,3,3765.282147749395
2,3,3409.889804456595
3,3,3873.977421191355
4,3,3452.153565995359
5,3,2786.2149981531547
6,3,4960.411346592668
7,3,1578.872898164254
8,3,1454.9331493581963
9,3,2430.074880006987
10,3,2183.416916532727
11,3,1945.8018010144078
12,3,1970.086935769505
13,3,1754.6624353295995
14,3,2582.4488231893147
15,3,2438.262273503984
16,3,2474.4481078115173
17,3,3059.941284325129
18,3,3028.2192789862324
19,3,2933.599260577008
20,3,2935.792070589645
